HALF.INNING,Outs.Inning,Runs.Inning,Team,Home,Pitcher,SP,R_SP,Estimate,League
ANA201304090 1 0,3,3,OAK,0,wilsc004,5,3,-0.006506309110336861,AL
ANA201304090 1 1,3,0,ANA,1,parkj001,2,0,-0.003844328836460908,AL
ANA201304090 2 0,3,1,OAK,0,wilsc004,0,0,-0.006506309110336861,AL
ANA201304090 2 1,3,0,ANA,1,parkj001,1,0,-0.003844328836460908,AL
ANA201304090 3 0,3,0,OAK,0,wilsc004,0,0,-0.006506309110336861,AL
ANA201304090 3 1,3,2,ANA,1,parkj001,3,2,-0.003844328836460908,AL
ANA201304090 4 0,3,0,OAK,0,wilsc004,0,0,-0.006506309110336861,AL
ANA201304090 4 1,3,0,ANA,1,parkj001,3,0,-0.003844328836460908,AL
ANA201304090 5 0,3,0,OAK,0,wilsc004,0,0,-0.006506309110336861,AL
ANA201304090 5 1,3,0,ANA,1,resoc001,1,0,0.006987178789435943,AL
ANA201304090 6 0,3,0,OAK,0,wilsc004,0,0,-0.006506309110336861,AL
ANA201304090 6 1,3,3,ANA,1,neshp001,3,2,-0.0029731245930041655,AL
ANA201304090 7 0,3,5,OAK,0,downs001,1,1,-0.0032622119675326695,AL
ANA201304090 7 1,3,0,ANA,1,cookr001,0,0,-0.002285429973542321,AL
ANA201304090 8 0,3,0,OAK,0,burns001,1,0,-0.0075246437884908665,AL
ANA201304090 8 1,3,0,ANA,1,dools001,0,0,-0.021435577673176213,AL
ANA201304090 9 0,3,0,OAK,0,delad001,0,0,-0.00902253975504481,AL
ANA201304090 9 1,3,0,ANA,1,balfg001,2,0,-0.009009619997183723,AL
ANA201304100 1 0,3,1,OAK,0,blanj001,1,1,0.03329965631142517,AL
ANA201304100 1 1,3,1,ANA,1,milot001,2,1,0.005772590321171989,AL
ANA201304100 2 0,3,0,OAK,0,blanj001,1,0,0.03329965631142517,AL
ANA201304100 2 1,3,0,ANA,1,milot001,1,0,0.005772590321171989,AL
ANA201304100 3 0,3,3,OAK,0,blanj001,3,2,0.03329965631142517,AL
ANA201304100 3 1,3,1,ANA,1,milot001,2,1,0.005772590321171989,AL
ANA201304100 4 0,3,0,OAK,0,blanj001,1,0,0.03329965631142517,AL
ANA201304100 4 1,3,0,ANA,1,milot001,0,0,0.005772590321171989,AL
ANA201304100 5 0,3,1,OAK,0,blanj001,1,0,0.03329965631142517,AL
ANA201304100 5 1,3,2,ANA,1,milot001,2,2,0.005772590321171989,AL
ANA201304100 6 0,3,5,OAK,0,blanj001,6,5,0.03329965631142517,AL
ANA201304100 6 1,3,0,ANA,1,resoc001,1,0,0.006987178789435943,AL
ANA201304100 7 0,3,1,OAK,0,willj003,2,1,0.01069668652017524,AL
ANA201304100 7 1,3,0,ANA,1,blevj001,2,0,-0.0024508257097683446,AL
ANA201304100 8 0,3,0,OAK,0,willj003,1,0,0.01069668652017524,AL
ANA201304100 8 1,3,1,ANA,1,neshp001,2,1,-0.0029731245930041655,AL
ANA201304100 9 0,3,0,OAK,0,friee001,1,0,-0.010409523871388408,AL
ANA201304100 9 1,3,0,ANA,1,scrie001,1,0,0.00220896183317479,AL
ANA201304110 1 0,3,0,OAK,0,vargj001,0,0,-0.0045440949800716075,AL
ANA201304110 1 1,3,0,ANA,1,grifa002,0,0,-0.005045658427320684,AL
ANA201304110 2 0,3,0,OAK,0,vargj001,2,0,-0.0045440949800716075,AL
ANA201304110 2 1,3,0,ANA,1,grifa002,0,0,-0.005045658427320684,AL
ANA201304110 3 0,3,1,OAK,0,vargj001,1,1,-0.0045440949800716075,AL
ANA201304110 3 1,3,0,ANA,1,grifa002,1,0,-0.005045658427320684,AL
ANA201304110 4 0,3,0,OAK,0,vargj001,1,0,-0.0045440949800716075,AL
ANA201304110 4 1,3,1,ANA,1,grifa002,3,1,-0.005045658427320684,AL
ANA201304110 5 0,3,0,OAK,0,vargj001,1,0,-0.0045440949800716075,AL
ANA201304110 5 1,3,0,ANA,1,grifa002,0,0,-0.005045658427320684,AL
ANA201304110 6 0,3,4,OAK,0,vargj001,3,2,-0.0045440949800716075,AL
ANA201304110 6 1,3,0,ANA,1,grifa002,0,0,-0.005045658427320684,AL
ANA201304110 7 0,3,1,OAK,0,burns001,1,0,-0.0075246437884908665,AL
ANA201304110 7 1,3,0,ANA,1,grifa002,0,0,-0.005045658427320684,AL
ANA201304110 8 0,3,0,OAK,0,lowem002,1,0,0.01681576879237784,AL
ANA201304110 8 1,3,0,ANA,1,grifa002,0,0,-0.005045658427320684,AL
ANA201304110 9 0,3,2,OAK,0,willj003,2,1,0.01069668652017524,AL
ANA201304110 9 1,3,0,ANA,1,scrie001,0,0,0.00220896183317479,AL
ANA201304120 1 0,3,3,HOU,0,hanst001,3,2,0.01300705195859059,AL
ANA201304120 1 1,3,0,ANA,1,norrb001,0,0,0.003272107845325194,AL
ANA201304120 2 0,3,1,HOU,0,hanst001,0,0,0.01300705195859059,AL
ANA201304120 2 1,3,0,ANA,1,norrb001,0,0,0.003272107845325194,AL
ANA201304120 3 0,3,1,HOU,0,hanst001,4,1,0.01300705195859059,AL
ANA201304120 3 1,3,0,ANA,1,norrb001,0,0,0.003272107845325194,AL
ANA201304120 4 0,3,0,HOU,0,hanst001,0,0,0.01300705195859059,AL
ANA201304120 4 1,3,0,ANA,1,norrb001,0,0,0.003272107845325194,AL
ANA201304120 5 0,3,0,HOU,0,hanst001,0,0,0.01300705195859059,AL
ANA201304120 5 1,3,0,ANA,1,norrb001,0,0,0.003272107845325194,AL
ANA201304120 6 0,3,0,HOU,0,delad001,0,0,-0.00902253975504481,AL
ANA201304120 6 1,3,0,ANA,1,norrb001,0,0,0.003272107845325194,AL
ANA201304120 7 0,3,0,HOU,0,delad001,0,0,-0.00902253975504481,AL
ANA201304120 7 1,3,0,ANA,1,norrb001,0,0,0.003272107845325194,AL
ANA201304120 8 0,3,0,HOU,0,downs001,1,0,-0.0032622119675326695,AL
ANA201304120 8 1,3,0,ANA,1,ambrh001,0,0,0.022851112086211964,AL
ANA201304120 9 0,3,0,HOU,0,friee001,1,0,-0.010409523871388408,AL
ANA201304120 9 1,3,0,ANA,1,ambrh001,0,0,0.022851112086211964,AL
ANA201304130 1 0,3,0,HOU,0,richg002,0,0,0.0037866135787672627,AL
ANA201304130 1 1,3,0,ANA,1,harrl002,0,0,0.03175427215202025,AL
ANA201304130 2 0,3,0,HOU,0,richg002,0,0,0.0037866135787672627,AL
ANA201304130 2 1,3,0,ANA,1,harrl002,0,0,0.03175427215202025,AL
ANA201304130 3 0,3,0,HOU,0,richg002,0,0,0.0037866135787672627,AL
ANA201304130 3 1,3,0,ANA,1,harrl002,1,0,0.03175427215202025,AL
ANA201304130 4 0,3,2,HOU,0,richg002,1,1,0.0037866135787672627,AL
ANA201304130 4 1,3,0,ANA,1,harrl002,0,0,0.03175427215202025,AL
ANA201304130 5 0,3,0,HOU,0,richg002,0,0,0.0037866135787672627,AL
ANA201304130 5 1,3,0,ANA,1,harrl002,2,0,0.03175427215202025,AL
ANA201304130 6 0,3,0,HOU,0,richg002,1,0,0.0037866135787672627,AL
ANA201304130 6 1,3,1,ANA,1,harrl002,0,0,0.03175427215202025,AL
ANA201304130 7 0,3,2,HOU,0,richg002,4,2,0.0037866135787672627,AL
ANA201304130 7 1,3,0,ANA,1,ambrh001,2,0,0.022851112086211964,AL
ANA201304130 8 0,3,0,HOU,0,rothm001,0,0,0.005594449509353996,AL
ANA201304130 8 1,3,2,ANA,1,cruzr001,3,2,0.002565376676720796,AL
ANA201304130 9 0,3,0,HOU,0,rothm001,0,0,0.005594449509353996,AL
ANA201304140 1 0,3,0,HOU,0,wilsc004,2,0,-0.006506309110336861,AL
ANA201304140 1 1,3,1,ANA,1,humbp001,1,1,0.03283769698931669,AL
ANA201304140 2 0,3,1,HOU,0,wilsc004,2,1,-0.006506309110336861,AL
ANA201304140 2 1,3,0,ANA,1,humbp001,1,0,0.03283769698931669,AL
ANA201304140 3 0,3,0,HOU,0,wilsc004,0,0,-0.006506309110336861,AL
ANA201304140 3 1,3,1,ANA,1,humbp001,1,0,0.03283769698931669,AL
ANA201304140 4 0,3,0,HOU,0,wilsc004,0,0,-0.006506309110336861,AL
ANA201304140 4 1,3,0,ANA,1,humbp001,0,0,0.03283769698931669,AL
ANA201304140 5 0,3,0,HOU,0,wilsc004,0,0,-0.006506309110336861,AL
ANA201304140 5 1,3,0,ANA,1,humbp001,0,0,0.03283769698931669,AL
ANA201304140 6 0,3,0,HOU,0,wilsc004,2,0,-0.006506309110336861,AL
ANA201304140 6 1,3,0,ANA,1,humbp001,0,0,0.03283769698931669,AL
ANA201304140 7 0,3,0,HOU,0,burns001,0,0,-0.0075246437884908665,AL
ANA201304140 7 1,3,0,ANA,1,humbp001,0,0,0.03283769698931669,AL
ANA201304140 8 0,3,0,HOU,0,downs001,1,0,-0.0032622119675326695,AL
ANA201304140 8 1,3,2,ANA,1,cruzr001,0,0,0.002565376676720796,AL
ANA201304140 9 0,3,0,HOU,0,friee001,1,0,-0.010409523871388408,AL
ANA201304190 1 0,3,0,DET,0,hanst001,1,0,0.01300705195859059,AL
ANA201304190 1 1,3,0,ANA,1,sanca004,1,0,-0.022989186424059883,AL
ANA201304190 2 0,3,0,DET,0,hanst001,1,0,0.01300705195859059,AL
ANA201304190 2 1,3,0,ANA,1,sanca004,0,0,-0.022989186424059883,AL
ANA201304190 3 0,3,0,DET,0,hanst001,1,0,0.01300705195859059,AL
ANA201304190 3 1,3,1,ANA,1,sanca004,1,1,-0.022989186424059883,AL
ANA201304190 4 0,3,0,DET,0,hanst001,2,0,0.01300705195859059,AL
ANA201304190 4 1,3,1,ANA,1,sanca004,2,1,-0.022989186424059883,AL
ANA201304190 5 0,3,0,DET,0,hanst001,1,0,0.01300705195859059,AL
ANA201304190 5 1,3,0,ANA,1,sanca004,0,0,-0.022989186424059883,AL
ANA201304190 6 0,3,0,DET,0,hanst001,0,0,0.01300705195859059,AL
ANA201304190 6 1,3,0,ANA,1,sanca004,1,0,-0.022989186424059883,AL
ANA201304190 7 0,3,0,DET,0,lowem002,2,0,0.01681576879237784,AL
ANA201304190 7 1,3,1,ANA,1,sanca004,1,1,-0.022989186424059883,AL
ANA201304190 8 0,3,0,DET,0,downs001,1,0,-0.0032622119675326695,AL
ANA201304190 8 1,3,5,ANA,1,doteo001,4,4,0.012884505870437608,AL
ANA201304190 9 0,3,1,DET,0,delad001,1,1,-0.00902253975504481,AL
ANA201304200 1 0,3,0,DET,0,richg002,0,0,0.0037866135787672627,AL
ANA201304200 1 1,3,9,ANA,1,porcr001,7,7,4.1899013246460656e-4,AL
ANA201304200 2 0,3,0,DET,0,richg002,1,0,0.0037866135787672627,AL
ANA201304200 2 1,3,0,ANA,1,smyld001,1,0,-0.02157504077720062,AL
ANA201304200 3 0,3,0,DET,0,richg002,0,0,0.0037866135787672627,AL
ANA201304200 3 1,3,0,ANA,1,smyld001,0,0,-0.02157504077720062,AL
ANA201304200 4 0,3,0,DET,0,richg002,0,0,0.0037866135787672627,AL
ANA201304200 4 1,3,0,ANA,1,smyld001,0,0,-0.02157504077720062,AL
ANA201304200 5 0,3,0,DET,0,richg002,0,0,0.0037866135787672627,AL
ANA201304200 5 1,3,0,ANA,1,smyld001,0,0,-0.02157504077720062,AL
ANA201304200 6 0,3,0,DET,0,richg002,0,0,0.0037866135787672627,AL
ANA201304200 6 1,3,0,ANA,1,smyld001,0,0,-0.02157504077720062,AL
ANA201304200 7 0,3,0,DET,0,richg002,1,0,0.0037866135787672627,AL
ANA201304200 7 1,3,0,ANA,1,smyld001,0,0,-0.02157504077720062,AL
ANA201304200 8 0,3,0,DET,0,rothm001,1,0,0.005594449509353996,AL
ANA201304200 8 1,3,1,ANA,1,villb002,2,1,0.02035947322547885,AL
ANA201304200 9 0,3,0,DET,0,kohnm001,0,0,-0.006604311280898977,AL
ANA201304210 1 0,3,0,DET,0,wilsc004,2,0,-0.006506309110336861,AL
ANA201304210 1 1,3,0,ANA,1,fistd001,0,0,-0.005448596792307548,AL
ANA201304210 10 0,3,0,DET,0,downs001,0,0,-0.0032622119675326695,AL
ANA201304210 10 1,3,0,ANA,1,benoj001,2,0,-0.026670202660200832,AL
ANA201304210 11 0,3,0,DET,0,willj003,0,0,0.01069668652017524,AL
ANA201304210 11 1,3,0,ANA,1,cokep001,0,0,0.01713474359130793,AL
ANA201304210 12 0,3,0,DET,0,willj003,0,0,0.01069668652017524,AL
ANA201304210 12 1,3,0,ANA,1,cokep001,0,0,0.01713474359130793,AL
ANA201304210 13 0,3,0,DET,0,willj003,0,0,0.01069668652017524,AL
ANA201304210 2 0,3,1,DET,0,wilsc004,4,1,-0.006506309110336861,AL
ANA201304210 2 1,3,0,ANA,1,fistd001,1,0,-0.005448596792307548,AL
ANA201304210 3 0,3,0,DET,0,wilsc004,0,0,-0.006506309110336861,AL
ANA201304210 3 1,3,3,ANA,1,fistd001,3,2,-0.005448596792307548,AL
ANA201304210 4 0,3,0,DET,0,wilsc004,0,0,-0.006506309110336861,AL
ANA201304210 4 1,3,0,ANA,1,fistd001,1,0,-0.005448596792307548,AL
ANA201304210 5 0,3,2,DET,0,wilsc004,0,0,-0.006506309110336861,AL
ANA201304210 5 1,3,0,ANA,1,fistd001,0,0,-0.005448596792307548,AL
ANA201304210 6 0,3,0,DET,0,wilsc004,0,0,-0.006506309110336861,AL
ANA201304210 6 1,3,0,ANA,1,fistd001,0,0,-0.005448596792307548,AL
ANA201304210 7 0,3,0,DET,0,delad001,0,0,-0.00902253975504481,AL
ANA201304210 7 1,3,0,ANA,1,fistd001,1,0,-0.005448596792307548,AL
ANA201304210 8 0,3,0,DET,0,burns001,1,0,-0.0075246437884908665,AL
ANA201304210 8 1,3,0,ANA,1,albua001,0,0,0.004524881567087517,AL
ANA201304210 9 0,3,0,DET,0,friee001,2,0,-0.010409523871388408,AL
ANA201304210 9 1,3,0,ANA,1,albua001,0,0,0.004524881567087517,AL
ANA201304220 1 0,3,1,TEX,0,blanj001,1,1,0.03329965631142517,AL
ANA201304220 1 1,3,0,ANA,1,holld003,0,0,-0.009620464387189455,AL
ANA201304220 2 0,3,1,TEX,0,blanj001,2,1,0.03329965631142517,AL
ANA201304220 2 1,3,0,ANA,1,holld003,1,0,-0.009620464387189455,AL
ANA201304220 3 0,3,0,TEX,0,blanj001,2,0,0.03329965631142517,AL
ANA201304220 3 1,3,0,ANA,1,holld003,1,0,-0.009620464387189455,AL
ANA201304220 4 0,3,0,TEX,0,blanj001,0,0,0.03329965631142517,AL
ANA201304220 4 1,3,3,ANA,1,holld003,2,2,-0.009620464387189455,AL
ANA201304220 5 0,3,0,TEX,0,blanj001,1,0,0.03329965631142517,AL
ANA201304220 5 1,3,0,ANA,1,holld003,0,0,-0.009620464387189455,AL
ANA201304220 6 0,3,1,TEX,0,blanj001,2,1,0.03329965631142517,AL
ANA201304220 6 1,3,3,ANA,1,holld003,5,3,-0.009620464387189455,AL
ANA201304220 7 0,3,3,TEX,0,blanj001,4,3,0.03329965631142517,AL
ANA201304220 7 1,3,0,ANA,1,schet001,0,0,-0.01933854075308284,AL
ANA201304220 8 0,3,0,TEX,0,downs001,0,0,-0.0032622119675326695,AL
ANA201304220 8 1,3,0,ANA,1,schet001,0,0,-0.01933854075308284,AL
ANA201304220 9 0,3,1,TEX,0,friee001,0,0,-0.010409523871388408,AL
ANA201304220 9 1,3,0,ANA,1,nathj001,0,0,-0.025195326172024475,AL
ANA201304230 1 0,3,0,TEX,0,vargj001,1,0,-0.0045440949800716075,AL
ANA201304230 1 1,3,2,ANA,1,ogana001,2,2,-0.013295032931861642,AL
ANA201304230 10 0,3,0,TEX,0,delad001,0,0,-0.00902253975504481,AL
ANA201304230 10 1,3,0,ANA,1,rossr002,3,0,-0.009030952601025774,AL
ANA201304230 11 0,3,0,TEX,0,delad001,0,0,-0.00902253975504481,AL
ANA201304230 2 0,3,0,TEX,0,vargj001,0,0,-0.0045440949800716075,AL
ANA201304230 2 1,3,0,ANA,1,ogana001,0,0,-0.013295032931861642,AL
ANA201304230 3 0,3,0,TEX,0,vargj001,0,0,-0.0045440949800716075,AL
ANA201304230 3 1,3,0,ANA,1,ogana001,0,0,-0.013295032931861642,AL
ANA201304230 4 0,3,0,TEX,0,vargj001,1,0,-0.0045440949800716075,AL
ANA201304230 4 1,3,2,ANA,1,ogana001,1,1,-0.013295032931861642,AL
ANA201304230 5 0,3,0,TEX,0,vargj001,1,0,-0.0045440949800716075,AL
ANA201304230 5 1,3,0,ANA,1,ogana001,0,0,-0.013295032931861642,AL
ANA201304230 6 0,3,3,TEX,0,vargj001,3,2,-0.0045440949800716075,AL
ANA201304230 6 1,3,0,ANA,1,ogana001,0,0,-0.013295032931861642,AL
ANA201304230 7 0,3,0,TEX,0,vargj001,0,0,-0.0045440949800716075,AL
ANA201304230 7 1,3,0,ANA,1,ogana001,0,0,-0.013295032931861642,AL
ANA201304230 8 0,3,1,TEX,0,downs001,2,1,-0.0032622119675326695,AL
ANA201304230 8 1,3,0,ANA,1,ogana001,0,0,-0.013295032931861642,AL
ANA201304230 9 0,3,0,TEX,0,friee001,1,0,-0.010409523871388408,AL
ANA201304230 9 1,3,0,ANA,1,rossr002,0,0,-0.009030952601025774,AL
ANA201304240 1 0,3,0,TEX,0,rothm001,0,0,0.005594449509353996,AL
ANA201304240 1 1,3,0,ANA,1,darvy001,0,0,-0.024766377622441417,AL
ANA201304240 2 0,3,0,TEX,0,rothm001,1,0,0.005594449509353996,AL
ANA201304240 2 1,3,0,ANA,1,darvy001,0,0,-0.024766377622441417,AL
ANA201304240 3 0,3,0,TEX,0,rothm001,1,0,0.005594449509353996,AL
ANA201304240 3 1,3,0,ANA,1,darvy001,0,0,-0.024766377622441417,AL
ANA201304240 4 0,3,9,TEX,0,rothm001,7,7,0.005594449509353996,AL
ANA201304240 4 1,3,0,ANA,1,darvy001,0,0,-0.024766377622441417,AL
ANA201304240 5 0,3,0,TEX,0,maron001,0,0,0.007544799609115828,AL
ANA201304240 5 1,3,0,ANA,1,darvy001,0,0,-0.024766377622441417,AL
ANA201304240 6 0,3,2,TEX,0,kohnm001,1,1,-0.006604311280898977,AL
ANA201304240 6 1,3,0,ANA,1,darvy001,0,0,-0.024766377622441417,AL
ANA201304240 7 0,3,0,TEX,0,willj003,0,0,0.01069668652017524,AL
ANA201304240 7 1,3,0,ANA,1,lowed001,0,0,0.01339667674133583,AL
ANA201304240 8 0,3,0,TEX,0,willj003,0,0,0.01069668652017524,AL
ANA201304240 8 1,3,3,ANA,1,lowed001,3,3,0.01339667674133583,AL
ANA201304240 9 0,3,0,TEX,0,willj003,0,0,0.01069668652017524,AL
ANA201304240 9 1,3,0,ANA,1,frasj002,1,0,-0.012784501746166308,AL
ANA201305020 1 0,3,0,BAL,0,blanj001,0,0,0.03329965631142517,AL
ANA201305020 1 1,3,0,ANA,1,tillc001,1,0,-0.007539118716463853,AL
ANA201305020 2 0,3,0,BAL,0,blanj001,0,0,0.03329965631142517,AL
ANA201305020 2 1,3,0,ANA,1,tillc001,1,0,-0.007539118716463853,AL
ANA201305020 3 0,3,1,BAL,0,blanj001,3,1,0.03329965631142517,AL
ANA201305020 3 1,3,0,ANA,1,tillc001,0,0,-0.007539118716463853,AL
ANA201305020 4 0,3,0,BAL,0,blanj001,1,0,0.03329965631142517,AL
ANA201305020 4 1,3,0,ANA,1,tillc001,0,0,-0.007539118716463853,AL
ANA201305020 5 0,3,0,BAL,0,blanj001,0,0,0.03329965631142517,AL
ANA201305020 5 1,3,0,ANA,1,tillc001,0,0,-0.007539118716463853,AL
ANA201305020 6 0,3,1,BAL,0,blanj001,1,0,0.03329965631142517,AL
ANA201305020 6 1,3,0,ANA,1,tillc001,0,0,-0.007539118716463853,AL
ANA201305020 7 0,3,1,BAL,0,blanj001,3,1,0.03329965631142517,AL
ANA201305020 7 1,3,0,ANA,1,tillc001,0,0,-0.007539118716463853,AL
ANA201305020 8 0,3,0,BAL,0,blanj001,0,0,0.03329965631142517,AL
ANA201305020 8 1,3,0,ANA,1,tillc001,0,0,-0.007539118716463853,AL
ANA201305020 9 0,3,2,BAL,0,brasr001,0,0,-0.005405079753611925,AL
ANA201305020 9 1,3,1,ANA,1,johnj010,0,0,-0.008252957876656405,AL
ANA201305030 1 0,3,0,BAL,0,vargj001,0,0,-0.0045440949800716075,AL
ANA201305030 1 1,3,0,ANA,1,gonzm003,0,0,5.011987524205905e-4,AL
ANA201305030 2 0,3,0,BAL,0,vargj001,0,0,-0.0045440949800716075,AL
ANA201305030 2 1,3,1,ANA,1,gonzm003,0,0,5.011987524205905e-4,AL
ANA201305030 3 0,3,0,BAL,0,vargj001,0,0,-0.0045440949800716075,AL
ANA201305030 3 1,3,0,ANA,1,gonzm003,1,0,5.011987524205905e-4,AL
ANA201305030 4 0,3,0,BAL,0,vargj001,0,0,-0.0045440949800716075,AL
ANA201305030 4 1,3,0,ANA,1,gonzm003,1,0,5.011987524205905e-4,AL
ANA201305030 5 0,3,0,BAL,0,vargj001,1,0,-0.0045440949800716075,AL
ANA201305030 5 1,3,2,ANA,1,gonzm003,1,1,5.011987524205905e-4,AL
ANA201305030 6 0,3,0,BAL,0,vargj001,0,0,-0.0045440949800716075,AL
ANA201305030 6 1,3,0,ANA,1,gonzm003,0,0,5.011987524205905e-4,AL
ANA201305030 7 0,3,0,BAL,0,vargj001,1,0,-0.0045440949800716075,AL
ANA201305030 7 1,3,1,ANA,1,pattt001,3,1,-3.198449613211216e-4,AL
ANA201305030 8 0,3,0,BAL,0,vargj001,0,0,-0.0045440949800716075,AL
ANA201305030 8 1,3,0,ANA,1,strop001,0,0,0.013112566168187994,AL
ANA201305030 9 0,3,0,BAL,0,vargj001,1,0,-0.0045440949800716075,AL
ANA201305040 1 0,3,1,BAL,0,hanst001,0,0,0.01300705195859059,AL
ANA201305040 1 1,3,0,ANA,1,garcf002,0,0,-0.0015453008514597073,AL
ANA201305040 10 0,3,1,BAL,0,richg002,2,1,0.0037866135787672627,AL
ANA201305040 10 1,3,0,ANA,1,johnj010,0,0,-0.008252957876656405,AL
ANA201305040 2 0,3,1,BAL,0,hanst001,2,0,0.01300705195859059,AL
ANA201305040 2 1,3,0,ANA,1,garcf002,0,0,-0.0015453008514597073,AL
ANA201305040 3 0,3,0,BAL,0,hanst001,1,0,0.01300705195859059,AL
ANA201305040 3 1,3,0,ANA,1,garcf002,0,0,-0.0015453008514597073,AL
ANA201305040 4 0,3,0,BAL,0,hanst001,2,0,0.01300705195859059,AL
ANA201305040 4 1,3,0,ANA,1,garcf002,0,0,-0.0015453008514597073,AL
ANA201305040 5 0,3,1,BAL,0,hanst001,2,1,0.01300705195859059,AL
ANA201305040 5 1,3,0,ANA,1,garcf002,0,0,-0.0015453008514597073,AL
ANA201305040 6 0,3,0,BAL,0,kohnm001,1,0,-0.006604311280898977,AL
ANA201305040 6 1,3,0,ANA,1,garcf002,0,0,-0.0015453008514597073,AL
ANA201305040 7 0,3,1,BAL,0,delad001,0,0,-0.00902253975504481,AL
ANA201305040 7 1,3,2,ANA,1,garcf002,0,0,-0.0015453008514597073,AL
ANA201305040 8 0,3,0,BAL,0,delad001,0,0,-0.00902253975504481,AL
ANA201305040 8 1,3,2,ANA,1,odayd001,2,2,-0.01139902325882579,AL
ANA201305040 9 0,3,0,BAL,0,friee001,0,0,-0.010409523871388408,AL
ANA201305040 9 1,3,0,ANA,1,huntt002,1,0,-0.020042323983175108,AL
ANA201305050 1 0,3,1,BAL,0,willj003,2,1,0.01069668652017524,AL
ANA201305050 1 1,3,3,ANA,1,hammj002,5,3,0.011022362766244331,AL
ANA201305050 2 0,3,0,BAL,0,willj003,0,0,0.01069668652017524,AL
ANA201305050 2 1,3,0,ANA,1,hammj002,0,0,0.011022362766244331,AL
ANA201305050 3 0,3,0,BAL,0,willj003,0,0,0.01069668652017524,AL
ANA201305050 3 1,3,0,ANA,1,hammj002,2,0,0.011022362766244331,AL
ANA201305050 4 0,3,2,BAL,0,willj003,1,1,0.01069668652017524,AL
ANA201305050 4 1,3,1,ANA,1,hammj002,0,0,0.011022362766244331,AL
ANA201305050 5 0,3,2,BAL,0,willj003,1,1,0.01069668652017524,AL
ANA201305050 5 1,3,0,ANA,1,hammj002,0,0,0.011022362766244331,AL
ANA201305050 6 0,3,0,BAL,0,kohnm001,0,0,-0.006604311280898977,AL
ANA201305050 6 1,3,0,ANA,1,hammj002,1,0,0.011022362766244331,AL
ANA201305050 7 0,3,0,BAL,0,downs001,0,0,-0.0032622119675326695,AL
ANA201305050 7 1,3,0,ANA,1,matub001,2,0,-0.010645075907616888,AL
ANA201305050 8 0,3,3,BAL,0,delad001,4,3,-0.00902253975504481,AL
ANA201305050 8 1,3,0,ANA,1,pattt001,2,0,-3.198449613211216e-4,AL
ANA201305050 9 0,3,0,BAL,0,brasr001,0,0,-0.005405079753611925,AL
ANA201305050 9 1,3,0,ANA,1,odayd001,1,0,-0.01139902325882579,AL
ANA201305130 1 0,3,1,KCA,0,blanj001,1,0,0.03329965631142517,AL
ANA201305130 1 1,3,0,ANA,1,mendl001,0,0,0.019118248682808998,AL
ANA201305130 2 0,3,0,KCA,0,blanj001,0,0,0.03329965631142517,AL
ANA201305130 2 1,3,0,ANA,1,mendl001,0,0,0.019118248682808998,AL
ANA201305130 3 0,3,2,KCA,0,blanj001,2,2,0.03329965631142517,AL
ANA201305130 3 1,3,1,ANA,1,mendl001,1,1,0.019118248682808998,AL
ANA201305130 4 0,3,1,KCA,0,blanj001,3,1,0.03329965631142517,AL
ANA201305130 4 1,3,0,ANA,1,mendl001,0,0,0.019118248682808998,AL
ANA201305130 5 0,3,3,KCA,0,blanj001,4,3,0.03329965631142517,AL
ANA201305130 5 1,3,0,ANA,1,mendl001,0,0,0.019118248682808998,AL
ANA201305130 6 0,3,3,KCA,0,rothm001,2,2,0.005594449509353996,AL
ANA201305130 6 1,3,2,ANA,1,mendl001,2,1,0.019118248682808998,AL
ANA201305130 7 0,3,1,KCA,0,rothm001,1,0,0.005594449509353996,AL
ANA201305130 7 1,3,1,ANA,1,hochl001,1,0,-0.027268449573966187,AL
ANA201305130 8 0,3,0,KCA,0,coelr001,0,0,-0.00540774819721075,AL
ANA201305130 8 1,3,0,ANA,1,hochl001,0,0,-0.027268449573966187,AL
ANA201305130 9 0,3,0,KCA,0,coelr001,0,0,-0.00540774819721075,AL
ANA201305130 9 1,3,0,ANA,1,hochl001,0,0,-0.027268449573966187,AL
ANA201305140 1 0,3,0,KCA,0,vargj001,1,0,-0.0045440949800716075,AL
ANA201305140 1 1,3,0,ANA,1,guthj001,1,0,-0.00353846384374855,AL
ANA201305140 2 0,3,0,KCA,0,vargj001,0,0,-0.0045440949800716075,AL
ANA201305140 2 1,3,0,ANA,1,guthj001,0,0,-0.00353846384374855,AL
ANA201305140 3 0,3,0,KCA,0,vargj001,0,0,-0.0045440949800716075,AL
ANA201305140 3 1,3,0,ANA,1,guthj001,2,0,-0.00353846384374855,AL
ANA201305140 4 0,3,1,KCA,0,vargj001,1,0,-0.0045440949800716075,AL
ANA201305140 4 1,3,2,ANA,1,guthj001,0,0,-0.00353846384374855,AL
ANA201305140 5 0,3,0,KCA,0,vargj001,0,0,-0.0045440949800716075,AL
ANA201305140 5 1,3,1,ANA,1,guthj001,1,1,-0.00353846384374855,AL
ANA201305140 6 0,3,1,KCA,0,vargj001,0,0,-0.0045440949800716075,AL
ANA201305140 6 1,3,1,ANA,1,guthj001,1,0,-0.00353846384374855,AL
ANA201305140 7 0,3,0,KCA,0,vargj001,0,0,-0.0045440949800716075,AL
ANA201305140 7 1,3,1,ANA,1,guthj001,0,0,-0.00353846384374855,AL
