GAME_ID,PARK_ID,TEMP_PARK_CT,HR
ANA201204070,ANA01,85,2
ANA201204080,ANA01,80,3
ANA201204160,ANA01,71,1
ANA201204170,ANA01,72,2
ANA201204180,ANA01,68,2
ANA201204190,ANA01,67,0
ANA201204200,ANA01,63,1
ANA201204210,ANA01,64,1
ANA201204220,ANA01,65,1
ANA201204300,ANA01,64,2
ANA201205010,ANA01,60,2
ANA201205020,ANA01,63,2
ANA201205030,ANA01,66,1
ANA201205040,ANA01,67,1
ANA201205050,ANA01,68,3
ANA201205060,ANA01,71,1
ANA201205140,ANA01,70,1
ANA201205150,ANA01,74,1
ANA201205160,ANA01,76,3
ANA201205170,ANA01,73,2
ANA201205280,ANA01,74,4
ANA201205290,ANA01,72,2
ANA201205300,ANA01,68,3
ANA201206010,ANA01,66,0
ANA201206020,ANA01,66,0
ANA201206030,ANA01,70,2
ANA201206040,ANA01,65,3
ANA201206050,ANA01,71,4
ANA201206060,ANA01,74,2
ANA201206150,ANA01,65,1
ANA201206160,ANA01,69,1
ANA201206170,ANA01,76,1
ANA201206180,ANA01,71,1
ANA201206190,ANA01,69,1
ANA201206200,ANA01,68,3
ANA201206220,ANA01,71,2
ANA201206230,ANA01,76,0
ANA201206240,ANA01,78,1
ANA201207050,ANA01,69,3
ANA201207060,ANA01,73,3
ANA201207070,ANA01,75,0
ANA201207080,ANA01,79,4
ANA201207200,ANA01,81,3
ANA201207210,ANA01,82,5
ANA201207220,ANA01,77,3
ANA201207230,ANA01,77,0
ANA201207240,ANA01,73,1
ANA201207250,ANA01,75,5
ANA201207270,ANA01,73,1
ANA201207280,ANA01,80,1
ANA201207290,ANA01,78,0
ANA201208100,ANA01,85,3
ANA201208110,ANA01,84,3
ANA201208120,ANA01,91,2
ANA201208130,ANA01,82,2
ANA201208140,ANA01,86,4
ANA201208150,ANA01,76,3
ANA201208160,ANA01,83,3
ANA201208170,ANA01,84,5
ANA201208180,ANA01,84,4
ANA201208190,ANA01,92,3
ANA201208280,ANA01,86,3
ANA201208290,ANA01,79,2
ANA201208300,ANA01,80,1
ANA201209070,ANA01,81,2
ANA201209080,ANA01,80,1
ANA201209090,ANA01,91,3
ANA201209100,ANA01,78,2
ANA201209110,ANA01,73,4
ANA201209120,ANA01,76,2
ANA201209130,ANA01,85,1
ANA201209180,ANA01,79,2
ANA201209190,ANA01,78,2
ANA201209200,ANA01,81,1
ANA201209210,ANA01,82,3
ANA201209220,ANA01,86,1
ANA201209230,ANA01,94,1
ANA201209250,ANA01,69,4
ANA201209260,ANA01,71,1
ANA201209270,ANA01,81,1
ARI201204060,PHO01,77,3
ARI201204070,PHO01,79,4
ARI201204080,PHO01,83,3
ARI201204160,PHO01,81,3
ARI201204170,PHO01,87,2
ARI201204180,PHO01,84,1
ARI201204190,PHO01,91,2
ARI201204200,PHO01,93,1
ARI201204210,PHO01,97,2
ARI201204220,PHO01,74,2
ARI201204230,PHO01,97,4
ARI201204240,PHO01,92,5
ARI201204250,PHO01,76,0
ARI201205070,PHO01,88,6
ARI201205080,PHO01,90,2
ARI201205090,PHO01,78,1
ARI201205110,PHO01,95,3
ARI201205120,PHO01,78,0
ARI201205130,PHO01,77,1
ARI201205210,PHO01,105,3
ARI201205220,PHO01,105,2
ARI201205230,PHO01,99,3
ARI201205250,PHO01,91,4
ARI201205260,PHO01,80,1
ARI201205270,PHO01,73,1
ARI201206040,PHO01,100,1
ARI201206050,PHO01,98,3
ARI201206060,PHO01,98,1
ARI201206080,PHO01,101,4
ARI201206090,PHO01,102,1
ARI201206100,PHO01,76,0
ARI201206180,PHO01,82,1
ARI201206190,PHO01,81,6
ARI201206200,PHO01,77,8
ARI201206220,PHO01,81,2
ARI201206230,PHO01,79,3
ARI201206240,PHO01,76,2
ARI201207020,PHO01,82,4
ARI201207030,PHO01,80,3
ARI201207040,PHO01,74,2
ARI201207050,PHO01,78,2
ARI201207060,PHO01,79,1
ARI201207070,PHO01,79,3
ARI201207080,PHO01,76,1
ARI201207200,PHO01,80,3
ARI201207210,PHO01,79,3
ARI201207220,PHO01,77,3
ARI201207230,PHO01,79,3
ARI201207240,PHO01,79,3
ARI201207250,PHO01,79,3
ARI201207260,PHO01,79,0
ARI201207270,PHO01,79,2
ARI201207280,PHO01,78,4
ARI201207290,PHO01,76,0
ARI201208100,PHO01,82,2
ARI201208110,PHO01,79,1
ARI201208120,PHO01,77,0
ARI201208200,PHO01,81,5
ARI201208210,PHO01,79,0
ARI201208221,PHO01,77,2
ARI201208222,PHO01,74,0
ARI201208240,PHO01,78,1
ARI201208250,PHO01,77,5
ARI201208260,PHO01,75,1
ARI201208270,PHO01,77,2
ARI201208280,PHO01,78,0
ARI201208290,PHO01,76,4
ARI201209110,PHO01,74,0
ARI201209120,PHO01,75,0
ARI201209140,PHO01,93,1
ARI201209150,PHO01,75,2
ARI201209160,PHO01,72,1
ARI201209180,PHO01,99,0
ARI201209190,PHO01,104,0
ARI201209200,PHO01,73,3
ARI201209280,PHO01,98,3
ARI201209290,PHO01,75,2
ARI201209300,PHO01,73,1
ARI201210010,PHO01,99,4
ARI201210020,PHO01,100,2
ARI201210030,PHO01,74,1
ATL201204130,ATL02,69,5
ATL201204140,ATL02,75,0
ATL201204150,ATL02,75,3
ATL201204160,ATL02,71,2
ATL201204170,ATL02,68,1
ATL201204180,ATL02,62,4
ATL201204270,ATL02,75,0
ATL201204280,ATL02,81,0
ATL201204290,ATL02,81,1
ATL201204300,ATL02,84,3
ATL201205010,ATL02,84,1
ATL201205020,ATL02,87,3
ATL201205030,ATL02,81,2
ATL201205140,ATL02,79,0
ATL201205150,ATL02,76,1
ATL201205160,ATL02,79,1
ATL201205170,ATL02,81,1
ATL201205250,ATL02,88,1
ATL201205260,ATL02,90,3
ATL201205270,ATL02,85,1
ATL201205280,ATL02,82,2
ATL201205290,ATL02,82,3
ATL201205300,ATL02,89,2
ATL201206080,ATL02,84,1
ATL201206090,ATL02,86,3
ATL201206100,ATL02,71,2
ATL201206110,ATL02,79,1
ATL201206120,ATL02,84,2
ATL201206130,ATL02,83,2
ATL201206150,ATL02,82,2
ATL201206160,ATL02,80,0
ATL201206170,ATL02,82,0
ATL201206260,ATL02,88,2
ATL201206270,ATL02,89,4
ATL201206280,ATL02,97,1
ATL201206290,ATL02,101,3
ATL201206300,ATL02,104,0
ATL201207010,ATL02,101,2
ATL201207020,ATL02,91,1
ATL201207030,ATL02,72,1
ATL201207040,ATL02,82,3
ATL201207050,ATL02,96,5
ATL201207130,ATL02,73,2
ATL201207140,ATL02,89,1
ATL201207150,ATL02,87,1
ATL201207170,ATL02,77,0
ATL201207180,ATL02,76,6
ATL201207190,ATL02,84,2
ATL201207270,ATL02,85,1
ATL201207280,ATL02,94,1
ATL201207290,ATL02,90,3
ATL201207300,ATL02,94,1
ATL201207310,ATL02,86,3
ATL201208010,ATL02,89,0
ATL201208020,ATL02,87,0
ATL201208030,ATL02,87,0
ATL201208040,ATL02,84,2
ATL201208050,ATL02,89,1
ATL201208130,ATL02,71,1
ATL201208140,ATL02,84,2
ATL201208150,ATL02,84,2
ATL201208160,ATL02,87,3
ATL201208170,ATL02,82,2
ATL201208180,ATL02,79,5
ATL201208190,ATL02,77,1
ATL201208310,ATL02,83,6
ATL201209010,ATL02,90,2
ATL201209020,ATL02,83,1
ATL201209030,ATL02,83,0
ATL201209040,ATL02,74,2
ATL201209050,ATL02,81,0
ATL201209060,ATL02,77,0
ATL201209140,ATL02,79,1
ATL201209150,ATL02,84,3
ATL201209160,ATL02,79,0
ATL201209250,ATL02,79,3
ATL201209260,ATL02,82,1
ATL201209270,ATL02,84,0
ATL201209280,ATL02,78,2
ATL201209290,ATL02,75,0
ATL201209300,ATL02,73,1
BAL201204060,BAL12,59,2
BAL201204070,BAL12,63,3
BAL201204080,BAL12,68,1
BAL201204090,BAL12,65,2
BAL201204100,BAL12,62,2
BAL201204110,BAL12,53,2
BAL201204240,BAL12,60,2
BAL201204250,BAL12,70,2
BAL201204260,BAL12,64,2
BAL201204270,BAL12,60,2
BAL201204280,BAL12,56,2
BAL201204290,BAL12,64,2
BAL201205070,BAL12,67,5
BAL201205080,BAL12,68,7
BAL201205101,BAL12,64,6
BAL201205102,BAL12,61,1
BAL201205110,BAL12,71,3
BAL201205120,BAL12,77,2
BAL201205130,BAL12,79,4
BAL201205140,BAL12,66,3
BAL201205150,BAL12,78,2
BAL201205210,BAL12,72,2
BAL201205220,BAL12,76,3
BAL201205230,BAL12,75,5
BAL201205250,BAL12,82,2
BAL201205260,BAL12,87,3
BAL201205270,BAL12,86,2
BAL201206080,BAL12,81,4
BAL201206090,BAL12,86,4
BAL201206100,BAL12,90,1
BAL201206120,BAL12,72,5
BAL201206130,BAL12,76,2
BAL201206140,BAL12,79,3
BAL201206220,BAL12,76,1
BAL201206230,BAL12,87,2
BAL201206240,BAL12,88,1
BAL201206260,BAL12,78,6
BAL201206270,BAL12,85,1
BAL201206280,BAL12,92,4
BAL201206290,BAL12,100,3
BAL201206300,BAL12,91,3
BAL201207010,BAL12,95,2
BAL201207130,BAL12,85,2
BAL201207140,BAL12,86,3
BAL201207150,BAL12,87,2
BAL201207240,BAL12,86,2
BAL201207250,BAL12,85,3
BAL201207260,BAL12,84,1
BAL201207270,BAL12,88,4
BAL201207280,BAL12,88,3
BAL201207290,BAL12,81,2
BAL201208060,BAL12,88,1
BAL201208070,BAL12,85,5
BAL201208080,BAL12,85,3
BAL201208090,BAL12,84,3
BAL201208100,BAL12,86,4
BAL201208110,BAL12,73,4
BAL201208120,BAL12,81,3
BAL201208140,BAL12,84,3
BAL201208150,BAL12,80,0
BAL201208160,BAL12,84,1
BAL201208240,BAL12,84,4
BAL201208250,BAL12,77,2
BAL201208270,BAL12,87,3
BAL201208280,BAL12,86,2
BAL201208290,BAL12,82,0
BAL201208300,BAL12,81,2
BAL201209060,BAL12,80,6
BAL201209070,BAL12,83,6
BAL201209080,BAL12,67,4
BAL201209090,BAL12,74,2
BAL201209110,BAL12,75,5
BAL201209120,BAL12,77,1
BAL201209130,BAL12,76,0
BAL201209241,BAL12,66,2
BAL201209242,BAL12,65,4
BAL201209250,BAL12,72,0
BAL201209260,BAL12,81,8
BAL201209280,BAL12,72,2
BAL201209290,BAL12,65,3
BAL201209300,BAL12,66,5
BOS201204130,BOS07,58,1
BOS201204140,BOS07,72,6
BOS201204150,BOS07,72,3
BOS201204160,BOS07,79,0
BOS201204170,BOS07,78,8
BOS201204180,BOS07,51,2
BOS201204200,BOS07,79,6
BOS201204210,BOS07,78,4
BOS201204300,BOS07,52,5
BOS201205010,BOS07,46,0
BOS201205020,BOS07,47,0
BOS201205040,BOS07,53,1
BOS201205050,BOS07,56,2
BOS201205060,BOS07,54,5
BOS201205100,BOS07,60,3
BOS201205110,BOS07,64,0
BOS201205120,BOS07,77,1
BOS201205130,BOS07,74,2
BOS201205140,BOS07,57,2
BOS201205150,BOS07,70,1
BOS201205250,BOS07,73,3
BOS201205260,BOS07,83,1
BOS201205270,BOS07,70,2
BOS201205280,BOS07,69,4
BOS201205290,BOS07,68,3
BOS201205300,BOS07,75,3
BOS201205310,BOS07,76,2
BOS201206050,BOS07,55,1
BOS201206060,BOS07,58,0
BOS201206070,BOS07,59,0
BOS201206080,BOS07,67,2
BOS201206090,BOS07,78,1
BOS201206100,BOS07,76,1
BOS201206190,BOS07,74,4
BOS201206200,BOS07,96,6
BOS201206210,BOS07,92,2
BOS201206220,BOS07,74,0
BOS201206230,BOS07,65,1
BOS201206240,BOS07,82,4
BOS201206250,BOS07,72,5
BOS201206260,BOS07,69,1
BOS201206270,BOS07,75,3
BOS201207060,BOS07,81,2
BOS201207071,BOS07,85,4
BOS201207072,BOS07,86,3
BOS201207080,BOS07,87,1
BOS201207160,BOS07,79,1
BOS201207170,BOS07,89,2
BOS201207180,BOS07,73,3
BOS201207190,BOS07,75,1
BOS201207200,BOS07,69,0
BOS201207210,BOS07,72,3
BOS201207220,BOS07,84,6
BOS201207300,BOS07,79,3
BOS201207310,BOS07,68,0
BOS201208010,BOS07,75,4
BOS201208020,BOS07,84,1
BOS201208030,BOS07,88,1
BOS201208040,BOS07,79,3
BOS201208050,BOS07,89,3
BOS201208060,BOS07,79,1
BOS201208070,BOS07,75,1
BOS201208080,BOS07,85,6
BOS201208210,BOS07,79,2
BOS201208220,BOS07,74,1
BOS201208230,BOS07,84,5
BOS201208240,BOS07,74,1
BOS201208250,BOS07,73,2
BOS201208260,BOS07,76,3
BOS201208270,BOS07,84,1
BOS201209070,BOS07,77,5
BOS201209080,BOS07,77,2
BOS201209090,BOS07,67,2
BOS201209110,BOS07,73,1
BOS201209120,BOS07,68,4
BOS201209130,BOS07,79,0
BOS201209210,BOS07,60,0
BOS201209220,BOS07,63,3
BOS201209230,BOS07,70,0
BOS201209250,BOS07,66,1
BOS201209260,BOS07,71,2
CHA201204130,CHI12,64,2
CHA201204140,CHI12,63,4
CHA201204150,CHI12,73,2
CHA201204160,CHI12,53,5
CHA201204170,CHI12,51,2
CHA201204180,CHI12,68,2
CHA201204190,CHI12,50,1
CHA201204260,CHI12,39,4
CHA201204270,CHI12,39,3
CHA201204280,CHI12,46,0
CHA201204290,CHI12,47,1
CHA201205010,CHI12,56,3
CHA201205020,CHI12,76,3
CHA201205030,CHI12,82,3
CHA201205110,CHI12,74,1
CHA201205120,CHI12,54,0
CHA201205130,CHI12,58,1
CHA201205140,CHI12,70,2
CHA201205150,CHI12,83,4
CHA201205220,CHI12,62,2
CHA201205230,CHI12,72,2
CHA201205240,CHI12,82,8
CHA201205250,CHI12,66,4
CHA201205260,CHI12,73,4
CHA201205270,CHI12,93,2
CHA201206010,CHI12,57,4
CHA201206020,CHI12,73,8
CHA201206030,CHI12,75,1
CHA201206050,CHI12,58,4
CHA201206060,CHI12,66,2
CHA201206070,CHI12,72,1
CHA201206080,CHI12,83,3
CHA201206090,CHI12,87,2
CHA201206100,CHI12,89,7
CHA201206180,CHI12,88,7
CHA201206190,CHI12,88,0
CHA201206200,CHI12,86,1
CHA201206220,CHI12,75,0
CHA201206230,CHI12,75,1
CHA201206240,CHI12,89,0
CHA201207030,CHI12,93,4
CHA201207040,CHI12,97,1
CHA201207050,CHI12,99,1
CHA201207060,CHI12,91,2
CHA201207070,CHI12,75,1
CHA201207080,CHI12,75,5
CHA201207230,CHI12,90,4
CHA201207240,CHI12,75,5
CHA201207250,CHI12,92,2
CHA201208030,CHI12,80,5
CHA201208040,CHI12,72,4
CHA201208050,CHI12,82,2
CHA201208060,CHI12,82,4
CHA201208070,CHI12,86,2
CHA201208080,CHI12,73,2
CHA201208100,CHI12,68,5
CHA201208110,CHI12,70,3
CHA201208120,CHI12,75,4
CHA201208200,CHI12,71,5
CHA201208210,CHI12,73,4
CHA201208220,CHI12,76,2
CHA201208240,CHI12,84,5
CHA201208250,CHI12,86,3
CHA201208260,CHI12,73,2
CHA201209030,CHI12,79,2
CHA201209040,CHI12,76,2
CHA201209050,CHI12,85,2
CHA201209070,CHI12,63,6
CHA201209080,CHI12,70,3
CHA201209090,CHI12,65,0
CHA201209100,CHI12,72,3
CHA201209110,CHI12,77,4
CHA201209120,CHI12,82,3
CHA201209170,CHI12,81,0
CHA201209240,CHI12,66,3
CHA201209250,CHI12,78,4
CHA201209260,CHI12,57,1
CHA201209270,CHI12,60,2
CHA201209280,CHI12,64,2
CHA201209290,CHI12,78,5
CHA201209300,CHI12,64,3
CHN201204050,CHI11,51,0
CHN201204070,CHI11,60,2
CHN201204080,CHI11,60,1
CHN201204090,CHI11,57,3
CHN201204100,CHI11,40,3
CHN201204110,CHI11,44,1
CHN201204120,CHI11,57,0
CHN201204200,CHI11,42,0
CHN201204210,CHI11,43,0
CHN201204220,CHI11,45,0
CHN201204230,CHI11,44,0
CHN201204240,CHI11,57,2
CHN201204250,CHI11,53,2
CHN201205040,CHI11,52,2
CHN201205050,CHI11,49,0
CHN201205060,CHI11,57,1
CHN201205070,CHI11,56,4
CHN201205080,CHI11,66,0
CHN201205090,CHI11,52,0
CHN201205160,CHI11,58,3
CHN201205170,CHI11,63,2
CHN201205180,CHI11,76,2
CHN201205190,CHI11,81,5
CHN201205200,CHI11,91,3
CHN201205280,CHI11,90,8
CHN201205290,CHI11,80,2
CHN201205300,CHI11,59,4
CHN201206120,CHI11,65,0
CHN201206130,CHI11,64,1
CHN201206140,CHI11,79,1
CHN201206150,CHI11,87,0
CHN201206160,CHI11,90,2
CHN201206170,CHI11,84,1
CHN201206250,CHI11,66,2
CHN201206260,CHI11,74,0
CHN201206270,CHI11,87,4
CHN201206290,CHI11,75,3
CHN201206300,CHI11,93,1
CHN201207010,CHI11,79,0
CHN201207130,CHI11,81,2
CHN201207140,CHI11,83,1
CHN201207150,CHI11,84,2
CHN201207170,CHI11,94,4
CHN201207180,CHI11,78,2
CHN201207190,CHI11,79,1
CHN201207270,CHI11,77,6
CHN201207280,CHI11,76,0
CHN201207290,CHI11,80,2
CHN201207300,CHI11,89,3
CHN201207310,CHI11,75,1
CHN201208010,CHI11,79,4
CHN201208090,CHI11,66,3
CHN201208100,CHI11,70,1
CHN201208110,CHI11,72,0
CHN201208120,CHI11,75,2
CHN201208130,CHI11,65,3
CHN201208140,CHI11,75,3
CHN201208150,CHI11,84,4
CHN201208240,CHI11,91,5
CHN201208250,CHI11,90,3
CHN201208260,CHI11,73,0
CHN201208270,CHI11,78,6
CHN201208280,CHI11,72,2
CHN201208290,CHI11,78,0
CHN201208300,CHI11,87,3
CHN201208310,CHI11,91,2
CHN201209010,CHI11,73,1
CHN201209020,CHI11,75,1
CHN201209140,CHI11,72,2
CHN201209150,CHI11,71,2
CHN201209160,CHI11,79,6
CHN201209170,CHI11,59,0
CHN201209180,CHI11,58,0
CHN201209190,CHI11,69,1
CHN201209200,CHI11,68,1
CHN201209210,CHI11,59,1
CHN201209220,CHI11,50,2
CHN201209230,CHI11,57,2
CHN201210010,CHI11,61,1
CHN201210020,CHI11,61,1
CHN201210030,CHI11,67,2
CIN201204050,CIN09,60,1
CIN201204070,CIN09,67,5
CIN201204080,CIN09,61,2
CIN201204090,CIN09,64,3
CIN201204100,CIN09,51,2
CIN201204110,CIN09,46,1
CIN201204240,CIN09,63,3
CIN201204250,CIN09,67,2
CIN201204260,CIN09,69,3
CIN201204270,CIN09,61,2
CIN201204280,CIN09,51,1
CIN201204290,CIN09,57,4
CIN201205020,CIN09,87,2
CIN201205030,CIN09,83,3
CIN201205110,CIN09,72,2
CIN201205120,CIN09,72,2
CIN201205130,CIN09,62,3
CIN201205210,CIN09,74,5
CIN201205220,CIN09,75,5
CIN201205230,CIN09,78,2
CIN201205240,CIN09,82,4
CIN201205250,CIN09,89,1
CIN201205260,CIN09,88,3
CIN201205270,CIN09,90,9
CIN201206050,CIN09,67,3
CIN201206060,CIN09,77,2
CIN201206070,CIN09,83,3
CIN201206080,CIN09,84,3
CIN201206090,CIN09,85,2
CIN201206100,CIN09,84,4
CIN201206120,CIN09,86,1
CIN201206130,CIN09,81,2
CIN201206140,CIN09,77,5
CIN201206220,CIN09,88,3
CIN201206230,CIN09,90,1
CIN201206240,CIN09,90,3
CIN201206250,CIN09,84,1
CIN201206260,CIN09,82,2
CIN201206270,CIN09,81,4
CIN201207130,CIN09,81,1
CIN201207140,CIN09,86,2
CIN201207150,CIN09,88,1
CIN201207160,CIN09,91,1
CIN201207170,CIN09,96,1
CIN201207180,CIN09,74,2
CIN201207190,CIN09,76,3
CIN201207200,CIN09,77,3
CIN201207210,CIN09,85,2
CIN201207220,CIN09,86,0
CIN201207300,CIN09,87,3
CIN201207310,CIN09,89,4
CIN201208010,CIN09,91,3
CIN201208020,CIN09,86,3
CIN201208030,CIN09,82,2
CIN201208040,CIN09,88,2
CIN201208050,CIN09,86,3
CIN201208140,CIN09,78,1
CIN201208150,CIN09,83,3
CIN201208160,CIN09,84,3
CIN201208170,CIN09,81,4
CIN201208181,CIN09,79,4
CIN201208182,CIN09,79,4
CIN201208190,CIN09,79,0
CIN201208240,CIN09,90,2
CIN201208250,CIN09,90,2
CIN201208260,CIN09,88,1
CIN201209030,CIN09,77,3
CIN201209040,CIN09,88,1
CIN201209050,CIN09,85,3
CIN201209070,CIN09,80,2
CIN201209080,CIN09,73,2
CIN201209090,CIN09,74,2
CIN201209100,CIN09,77,2
CIN201209110,CIN09,77,4
CIN201209120,CIN09,83,0
CIN201209210,CIN09,72,0
CIN201209220,CIN09,72,2
CIN201209230,CIN09,61,3
CIN201209250,CIN09,67,1
CIN201209260,CIN09,74,3
CIN201209270,CIN09,69,2
CLE201204050,CLE08,44,3
CLE201204070,CLE08,48,3
CLE201204080,CLE08,51,2
CLE201204090,CLE08,56,3
CLE201204110,CLE08,45,4
CLE201204240,CLE08,56,0
CLE201204250,CLE08,55,4
CLE201204260,CLE08,58,0
CLE201204270,CLE08,48,1
CLE201204280,CLE08,43,1
CLE201204290,CLE08,52,0
CLE201205040,CLE08,66,2
CLE201205050,CLE08,58,1
CLE201205060,CLE08,59,1
CLE201205071,CLE08,61,1
CLE201205072,CLE08,57,0
CLE201205080,CLE08,63,0
CLE201205090,CLE08,56,1
CLE201205160,CLE08,59,2
CLE201205170,CLE08,60,1
CLE201205180,CLE08,66,0
CLE201205190,CLE08,71,1
CLE201205200,CLE08,74,0
CLE201205220,CLE08,61,1
CLE201205230,CLE08,65,1
CLE201205240,CLE08,81,1
CLE201205280,CLE08,90,3
CLE201205290,CLE08,76,1
CLE201205300,CLE08,70,0
CLE201206010,CLE08,60,2
CLE201206020,CLE08,71,2
CLE201206030,CLE08,73,0
CLE201206150,CLE08,72,0
CLE201206160,CLE08,78,6
CLE201206170,CLE08,78,4
CLE201206180,CLE08,74,5
CLE201206190,CLE08,84,1
CLE201206200,CLE08,88,2
CLE201207020,CLE08,83,1
CLE201207030,CLE08,85,3
CLE201207040,CLE08,92,2
CLE201207050,CLE08,83,3
CLE201207060,CLE08,88,2
CLE201207070,CLE08,90,3
CLE201207080,CLE08,79,3
CLE201207200,CLE08,71,4
CLE201207210,CLE08,79,3
CLE201207220,CLE08,82,3
CLE201207230,CLE08,91,1
CLE201207240,CLE08,78,1
CLE201207250,CLE08,82,2
CLE201207260,CLE08,73,3
CLE201208060,CLE08,77,5
CLE201208070,CLE08,81,1
CLE201208080,CLE08,83,1
CLE201208090,CLE08,73,2
CLE201208100,CLE08,73,2
CLE201208110,CLE08,68,1
CLE201208120,CLE08,72,1
CLE201208240,CLE08,79,2
CLE201208250,CLE08,82,1
CLE201208260,CLE08,83,1
CLE201208270,CLE08,75,1
CLE201208280,CLE08,75,2
CLE201208290,CLE08,71,2
CLE201208300,CLE08,73,5
CLE201208310,CLE08,81,1
CLE201209010,CLE08,76,2
CLE201209020,CLE08,76,5
CLE201209140,CLE08,63,0
CLE201209150,CLE08,68,1
CLE201209160,CLE08,72,1
CLE201209180,CLE08,59,2
CLE201209190,CLE08,62,2
CLE201209200,CLE08,64,1
CLE201209280,CLE08,62,1
CLE201209290,CLE08,63,1
CLE201209300,CLE08,56,2
CLE201210010,CLE08,61,1
CLE201210020,CLE08,64,3
CLE201210030,CLE08,64,5
COL201204090,DEN02,66,1
COL201204110,DEN02,63,3
COL201204120,DEN02,62,0
COL201204130,DEN02,58,3
COL201204140,DEN02,46,4
COL201204150,DEN02,48,1
COL201204160,DEN02,56,0
COL201204170,DEN02,66,2
COL201204180,DEN02,68,4
COL201204270,DEN02,61,5
COL201204280,DEN02,59,2
COL201204290,DEN02,55,3
COL201204300,DEN02,75,1
COL201205010,DEN02,75,5
COL201205020,DEN02,76,4
COL201205040,DEN02,86,4
COL201205050,DEN02,77,5
COL201205060,DEN02,55,2
COL201205160,DEN02,70,0
COL201205170,DEN02,75,3
COL201205180,DEN02,78,1
COL201205190,DEN02,48,2
COL201205200,DEN02,72,5
COL201205281,DEN02,70,3
COL201205282,DEN02,73,4
COL201205300,DEN02,73,5
COL201205310,DEN02,72,3
COL201206010,DEN02,77,3
COL201206020,DEN02,84,1
COL201206030,DEN02,84,1
COL201206080,DEN02,88,2
COL201206090,DEN02,88,6
COL201206100,DEN02,66,5
COL201206120,DEN02,81,6
COL201206130,DEN02,91,6
COL201206140,DEN02,79,3
COL201206250,DEN02,100,0
COL201206260,DEN02,93,6
COL201206270,DEN02,75,3
COL201206280,DEN02,93,4
COL201206290,DEN02,88,3
COL201206300,DEN02,93,5
COL201207010,DEN02,91,0
COL201207130,DEN02,93,0
COL201207140,DEN02,91,2
COL201207150,DEN02,90,1
COL201207160,DEN02,68,1
COL201207170,DEN02,88,1
COL201207180,DEN02,88,6
COL201207270,DEN02,70,0
COL201207280,DEN02,86,6
COL201207290,DEN02,90,3
COL201207310,DEN02,86,4
COL201208010,DEN02,68,3
COL201208020,DEN02,86,2
COL201208030,DEN02,90,3
COL201208040,DEN02,81,4
COL201208050,DEN02,82,0
COL201208130,DEN02,73,2
COL201208140,DEN02,91,3
COL201208150,DEN02,90,1
COL201208160,DEN02,73,3
COL201208170,DEN02,84,2
COL201208180,DEN02,79,1
COL201208190,DEN02,75,2
COL201208270,DEN02,84,2
COL201208280,DEN02,88,2
COL201208290,DEN02,90,2
COL201208310,DEN02,84,4
COL201209010,DEN02,81,3
COL201209020,DEN02,84,4
COL201209100,DEN02,88,3
COL201209110,DEN02,81,3
COL201209120,DEN02,54,1
COL201209210,DEN02,75,2
COL201209220,DEN02,75,2
COL201209230,DEN02,82,1
COL201209240,DEN02,72,2
COL201209250,DEN02,54,4
COL201209260,DEN02,59,1
COL201209270,DEN02,59,3
DET201204050,DET05,43,0
DET201204070,DET05,62,5
DET201204080,DET05,58,3
DET201204100,DET05,42,1
DET201204110,DET05,46,0
DET201204120,DET05,54,1
DET201204190,DET05,62,1
DET201204211,DET05,43,4
DET201204212,DET05,50,0
DET201204220,DET05,48,2
DET201204240,DET05,60,3
DET201204250,DET05,61,2
DET201204260,DET05,58,3
DET201205010,DET05,55,0
DET201205020,DET05,71,1
DET201205040,DET05,64,3
DET201205050,DET05,66,2
DET201205060,DET05,65,4
DET201205160,DET05,64,2
DET201205170,DET05,59,5
DET201205180,DET05,73,1
DET201205190,DET05,83,3
DET201205200,DET05,82,3
DET201206010,DET05,56,3
DET201206020,DET05,71,2
DET201206030,DET05,77,3
DET201206050,DET05,66,0
DET201206060,DET05,77,4
DET201206070,DET05,79,1
DET201206150,DET05,83,3
DET201206160,DET05,86,1
DET201206170,DET05,79,0
DET201206190,DET05,92,0
DET201206200,DET05,92,0
DET201206210,DET05,92,1
DET201207020,DET05,88,0
DET201207030,DET05,79,5
DET201207040,DET05,78,3
DET201207050,DET05,79,2
DET201207060,DET05,94,1
DET201207070,DET05,91,3
DET201207080,DET05,81,4
DET201207160,DET05,93,2
DET201207170,DET05,100,5
DET201207180,DET05,83,1
DET201207190,DET05,69,3
DET201207200,DET05,80,1
DET201207210,DET05,84,1
DET201207220,DET05,84,6
DET201208030,DET05,91,1
DET201208040,DET05,89,0
DET201208050,DET05,82,5
DET201208060,DET05,80,2
DET201208070,DET05,87,2
DET201208080,DET05,87,2
DET201208090,DET05,64,3
DET201208170,DET05,76,4
DET201208180,DET05,72,1
DET201208190,DET05,73,3
DET201208210,DET05,68,1
DET201208220,DET05,78,0
DET201208230,DET05,81,1
DET201208240,DET05,85,1
DET201208250,DET05,88,1
DET201208260,DET05,81,2
DET201208310,DET05,94,3
DET201209010,DET05,80,1
DET201209020,DET05,78,3
DET201209030,DET05,81,0
DET201209040,DET05,79,1
DET201209050,DET05,78,2
DET201209180,DET05,56,4
DET201209190,DET05,64,1
DET201209200,DET05,54,2
DET201209220,DET05,58,3
DET201209231,DET05,55,0
DET201209232,DET05,56,0
DET201209240,DET05,63,2
DET201209250,DET05,68,0
